,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
17,18,"No, I-I-I-I don't, I actually don't know",Aster,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
18,19,Ok!,Alex,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
19,20,"All right, well...",Alex,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
20,23,"Yeah, sure!",Aster,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
21,24,"Hey, Mon.",Ace,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
22,25,Hey-hey-hey. You wanna hear something that sucks.,Auden,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
23,26,Do I ever.,Ace,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
24,27,Chris says they’re closing down the bar.,Auden,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
25,28,No way!,Ace,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
26,29,"Yeah, apparently they’re turning it into some kinda coffee place.",Auden,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
27,30,Just coffee! Where are we gonna hang out now?,Ace,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
28,31,Got me.,Auden,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
29,32,Can I get a beer.,Ace,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
30,33,"Hey, did you pick a roommate?",Auden,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
31,34,You betcha!,Ace,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
32,35,Is it the Italian guy?,Auden,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
33,36,"Um-mm, yeah right!",Ace,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
34,37,"Oh my God, oh my God! Poor Monica!",Ellis,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
35,38,"What, what, what?!",Ace,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
36,39,What?!,Ellis,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966"
37,40,He was with her when he wrote this poem.,Ellis,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
38,41,"Look,  'My vessel so empty with nothing inside.",Ellis,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
39,42,"Now that I've touched you, you seem emptier still.'",Ellis,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
40,43,"He thinks Monica is empty, she is the empty vase!",Ellis,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
41,45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Ellis,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
42,46,Done.,Alex,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181"
43,47,Hey!,Aster,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891"
44,48,Hi!,Honor,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028"
45,49,What are you doing here?,Aster,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265"
46,50,"Ah y'know, this building is on my paper route so I...",Honor,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
47,51,Oh.,Aster,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771"
48,52,Hi.,Honor,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873"
49,53,Hi.,Aster,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
50,54,How’d did it go?,Honor,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230"
51,55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Aster,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
52,56,I’m so proud of you.,Honor,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991"
53,57,Me too!,Aster,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543"
54,58,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Honor,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
55,59,I know.,Aster,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794"
56,60,Yeah.,Honor,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380"
57,61,Yeah.,Aster,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
58,62,Ameri-can.,Ellis,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297"
59,63,Ameri-ccan.,Alex,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
60,64,Ameri-can. Y'know it’s a,Ellis,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507"
61,65,Everybody!!,Jody,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679"
62,66,Good job Joe! Well done! Top notch!,Ace,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526"
63,67,You liked it? You really liked it?,Alex,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796"
64,68,"Oh-ho-ho, yeah!",Ace,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501"
65,69,Which part exactly?,Alex,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657"
66,70,The whole thing! Can we go?,Ace,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243"
67,71,"Oh no-no-no, give me some specifics.",Alex,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746"
68,72,"I love the specifics, the specifics were the best part!",Ace,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000"
69,73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Alex,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
70,74,I was surprised to see a kangaroo in a World War I epic.,Ace,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929"
71,75,You fell asleep!!,Alex,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931"
72,76,There was no kangaroo!,Alex,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809"
73,77,They didn’t take any of my suggestions!,Alex,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196"
74,78,That’s for coming buddy.,Alex,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242"
75,79,I’ll see you later.,Alex,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202"
76,80,Don’t go!,Ace,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804"
77,81,I’m sorry.,Ace,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526"
78,82,I’m so sorry!,Ace,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832"
79,83,Look!,Ace,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407"
80,84,This guy fell asleep!,Ace,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589"
81,85,He fell asleep too!,Ace,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215"
82,86,Be mad at him!,Ace,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108"
83,87,"Or, call an ambulance.",Ace,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244"
84,88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Alex,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897"
85,89,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Honor,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193"
86,90,"Yes, and it is my dying wish to have that ring.",Ellis,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951"
87,91,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Ellis,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204"
88,92,"Okay, that’s enough honey!",Ace,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706"
89,93,I don’t know.  Let me see the ring.,Justice,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964"
90,94,"Great! Okay, here.",Ace,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964"
91,95,All right.,Justice,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934"
92,96,Thank you. Thank you. Thank you!  And,Ace,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074"
93,97,What've you been up to?,Ace,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738"
94,98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Onyx,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203"
95,99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Onyx,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459"
96,100,Can you hold on a moment? I have another call.  I love her.,Ace,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758"
97,101,I know.,Honor,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758"
98,102,I'm back.,Ace,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903"
99,103,"So, are we gonna get together or what?",Onyx,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185"
100,104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Ace,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561"
101,105,"Great, I'll see you then.",Onyx,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647"
102,106,Ok.  Ok. Having a phone has finally paid off.,Ace,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528"
103,107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Honor,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620"
104,108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Ace,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337"
105,109,Oh my god. You are pure evil.,Honor,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299"
106,110,"Ok, pure evil , horny and alone . I've done this",Ace,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058"
107,111,Nobody!,Ellis,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551"
108,112,Nobody respects the bucket!,Ellis,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947"
109,113,You wouldn't believe what people put in here!,Ellis,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721"
110,114,Look!,Ellis,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597"
111,115,"Okay, does this look like a garbage can to you?",Ellis,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016"
112,116,No.,Auden,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016"
113,117,This is my wedding.,Honor,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024"
114,118,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",Auden,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737"
115,119,Fine. You’ll-you’ll watch it on video when we get back.,Honor,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491"
116,120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Ace,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704"
117,121,Thank you.,Ellis,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791"
118,122,Thank you.,Ellis,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931"
119,123,"All right, let’s go! Bye, Pheebs!",Honor,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463"
120,124,"Bye, Pheebs!",Alex,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340"
121,125,London baby!!,Alex,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554"
122,126,"Oh, do you need a hug? You don’t have to bring me anything!",Ellis,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563"
123,127,Hey!,Ace,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045"
124,128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Alex,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177"
125,129,"That’s great, but shouldn’t you be on the toilet right now?",Ace,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890"
126,130,What?!,Alex,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647"
127,131,What’s wrong with you?,Ace,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929"
128,132,Nothing!,Alex,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023"
129,133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",Alex,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575"
130,134,"But um, I don’t think it’s anything serious.",Alex,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536"
131,135,This sounds like a hernia. You have to—you-you go to the doctor!,Ace,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706"
132,136,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",Alex,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463"
133,137,That’s a hernia.,Ace,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009"
134,138,Why did I have to start working out again?  Damn you 15s!,Alex,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556"
135,139,I love your place! Where is this guy from?,Phoenix,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930"
136,140,Uh that’s an eighteenth century Indian artifact from Calcutta.,Honor,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899"
137,141,"Oh wow! So, you’re more than just dinosaurs.",Phoenix,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899"
138,142,So much more.,Honor,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485"
139,143,"Well, well to sum up, we’re having fun, you look young.",Honor,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456"
140,144,Okay,Phoenix,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171"
141,145,But that’s not enough. So… So…here’s a key to my apartment.,Honor,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135"
142,146,Really?!,Phoenix,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986"
143,147,Really.,Honor,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320"
144,148,You don’t think this is too fast.,Phoenix,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316"
145,149,Get Out!,Honor,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488"
146,150,"Ross, can I talk to you for a minute?",Reese,neutral,neutral,15,1,9,23,"00:42:15,032","00:42:16,908"
147,151,"Yes, please!  So, what's going on?",Honor,neutral,neutral,15,2,9,23,"00:42:17,117","00:42:23,998"
148,152,"Uh, well... Joey and I broke up.",Reese,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754"
149,153,"Oh my God, wh-what happened?",Honor,surprise,negative,15,4,9,23,"00:42:30,464","00:42:35,885"
150,154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Reese,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561"
151,155,I knew that was him!,Honor,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561"
152,156,"Anyway I just, uh, I think it's for the best.",Reese,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108"
153,157,"Hey, you ok?",Honor,neutral,neutral,15,8,9,23,"0:42:51,068","0:42:52,950"
154,158,I guess.,Reese,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208"
155,159,There was hum...  there was another reason that I thought it was time to end it with Joey.,Reese,neutral,neutral,15,10,9,23,"00:42:57,866","00:43:05,915"
156,160,I started to realize that I was having feelings for someone  else.,Reese,neutral,neutral,15,11,9,23,"00:43:06,667","00:43:12,547"
157,161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Scout ,neutral,neutral,15,12,9,23,"00:43:14,174","00:43:19,220"
158,162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Honor,neutral,neutral,15,13,9,23,"00:43:19,388","00:43:22,765"
159,163,"Yeah, can you guys just throw him in the pool later?",Reese,neutral,neutral,15,14,9,23,"0:43:22,933","0:43:24,905"
160,164,Or we could throw you both in,Aries,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073"
161,165,"Ok, gentlemen!",Honor,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147"
162,166,Please!,Honor,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699"
163,167,Aren't we a little old for this?,Honor,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985"
164,168,"I mean, we're scientists, right?",Honor,neutral,neutral,15,19,9,23,"0:43:31,066","0:43:32,788"
165,169,We're academics.,Honor,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798"
166,170,And most importantly I... you-you will have to catch us first.,Honor,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780"
167,172,"GO, GO, GO!",Honor,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366"
168,173,"Go, go, go!",Honor,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239"
169,174,"Oh yeah, now everybody wants to be under this hat!",Aster,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574"
170,175,Oy!!,Ellis,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747"
171,176,What’s with all this sand?,Auden,surprise,negative,16,3,3,25,"00:04:52,333","00:04:54,001"
172,177,"Oh, yeah, Bob said there might be flood damage.",Ellis,neutral,neutral,16,4,3,25,"00:04:54,168","00:04:56,795"
173,178,"Yeah, either that, or he has a really big cat.",Honor,neutral,neutral,16,5,3,25,"00:04:57,005","00:04:59,214"
174,179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Alex,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127"
175,180,"Oh umm, my big scene is coming up. Big scene coming up.",Alex,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542"
176,181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Ace,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012"
177,182,Rach? What are you doing?,Auden,neutral,neutral,17,3,5,19,"00:06:32,183","00:06:33,517"
178,183,"Oh boy, I just can't watch. It's too scary!",Aster,fear,negative,17,4,5,19,"00:06:33,976","00:06:37,020"
179,184,It's a diaper commercial.,Auden,neutral,neutral,17,5,5,19,"00:06:37,480","00:06:39,731"
180,185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Aster,fear,negative,17,6,5,19,"00:06:40,817","00:06:43,735"
181,186,Pizza delivery!,Armani,joy,positive,17,7,5,19,"0:06:47,281","0:06:49,793"
182,187,I'll get it! I will get that!,Honor,joy,positive,17,8,5,19,"0:06:49,793","0:06:50,887"
183,188,Hi!,Armani,joy,positive,17,9,5,19,"0:06:53,538","0:06:54,665"
184,189,Hi!,Honor,joy,positive,17,10,5,19,"0:06:54,665","0:06:54,803"
185,190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Honor,neutral,neutral,18,0,5,21,"00:05:05,096","00:05:09,474"
186,191,"Uhh, the ball thing.",Alex,neutral,neutral,18,1,5,21,"0:05:09,642","0:05:11,603"
187,192,Yeah?,Honor,neutral,neutral,18,2,5,21,"0:05:11,603","0:05:12,542"
188,193,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",Alex,joy,positive,18,3,5,21,"00:05:14,022","00:05:19,109"
189,194,"Uhh,",Honor,neutral,neutral,18,4,5,21,"00:05:19,277","00:05:22,279"
190,195,Okay!,Alex,joy,positive,18,5,5,21,"00:05:23,489","00:05:24,990"
191,196,Uh-oh.,Alex,fear,negative,18,6,5,21,"0:05:28,578","0:05:29,670"
192,197,What?,Honor,neutral,neutral,18,7,5,21,"0:05:29,670","0:05:30,222"
193,198,I have to pee. And Rachel's in the bathroom!,Alex,sadness,negative,18,8,5,21,"00:05:30,330","00:05:34,166"
194,199,"Man, I didn't think we were gonna make it!",Alex,surprise,positive,18,9,5,21,"00:05:39,047","00:05:41,548"
195,200,"I know!  Don't switch hands, okay?",Honor,fear,negative,18,10,5,21,"00:05:42,383","00:05:45,969"
196,201,Hey.,Alex,neutral,neutral,19,0,1,1,"0:10:11,861","0:10:14,990"
197,202,Hey!,Ellis,neutral,neutral,19,1,1,1,"0:10:14,990","0:10:15,133"
198,203,How did it go with Erin?,Aster,neutral,neutral,20,0,7,7,"00:10:56,155","00:10:59,157"
199,204,"Oh, unbelievable! We had the best time!",Alex,joy,positive,20,1,7,7,"00:10:59,408","00:11:01,368"
200,205,"Yay!! Oh so, you’re not, you’re not mad at us anymore?",Ellis,joy,positive,20,2,7,7,"00:11:01,535","00:11:06,164"
201,206,No!,Alex,joy,positive,20,3,7,7,"0:11:02,703","0:11:03,538"
202,207,No!,Alex,joy,positive,20,4,7,7,"0:11:03,538","0:11:04,760"
203,208,No!,Alex,joy,positive,20,5,7,7,"0:11:04,760","0:11:05,303"
204,209,You guys were totally right!,Alex,joy,positive,20,6,7,7,"0:11:05,303","0:11:06,298"
205,210,This is so much better than the first time we went out.,Alex,joy,positive,20,7,7,7,"00:11:06,374","00:11:08,625"
206,211,Y’know?,Alex,neutral,neutral,20,8,7,7,"00:11:08,625","00:11:08,834"
207,212,"That was so awkward, we were really nervous.",Alex,neutral,neutral,20,9,7,7,"00:11:08,834","00:11:11,378"
208,213,Didn’t you sleep together?,Ellis,neutral,neutral,20,10,7,7,"0:11:11,629","0:11:12,811"
209,214,"Yeah, that really calms me down.",Alex,neutral,neutral,20,11,7,7,"0:11:12,811","0:11:14,723"
210,215,And!,Alex,joy,positive,20,12,7,7,"0:11:16,801","0:11:18,595"
211,216,We have so much in common!,Alex,joy,positive,20,13,7,7,"0:11:18,595","0:11:18,734"
212,217,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",Alex,joy,positive,20,14,7,7,"00:11:18,928","00:11:31,356"
213,218,"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",Aster,surprise,positive,20,15,7,7,"00:11:27,228","00:11:37,862"
214,219,Okay.,Alex,neutral,neutral,20,16,7,7,"00:11:41,742","00:11:43,493"
215,220,How does she do that?,Auden,surprise,negative,21,0,1,4,"00:01:49,275","00:01:51,485"
216,221,I cannot sleep in a public place.,Honor,neutral,neutral,21,1,1,4,"00:01:51,653","00:01:54,822"
217,222,Would you look at her? She is so peaceful.,Auden,joy,positive,21,2,1,4,"00:01:54,989","00:02:00,994"
218,223,Oh! What what what! ...Hi.,Ellis,surprise,positive,21,3,1,4,"00:02:01,162","00:02:03,622"
219,224,"It's okay, y'know, you just nodded off again.",Honor,neutral,neutral,21,4,1,4,"00:02:03,790","00:02:05,958"
220,225,What's going on with you?,Auden,surprise,positive,21,5,1,4,"00:02:06,126","00:02:08,127"
221,226,I got no sleep last night!,Ellis,anger,negative,21,6,1,4,"0:02:08,294","0:02:09,587"
222,227,Why?,Honor,neutral,neutral,21,7,1,4,"0:02:09,587","0:02:09,991"
223,228,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",Ellis,disgust,negative,21,8,1,4,"00:02:10,088","00:02:17,177"
224,229,"Oh, and deaf.",Ellis,neutral,neutral,21,9,1,4,"00:02:17,345","00:02:18,887"
225,230,"So they're constantly, like, having to reassure each other that they're having a good time.",Ellis,neutral,neutral,21,10,1,4,"00:02:20,682","00:02:24,726"
226,231,You have no idea how loud they are!,Ellis,disgust,negative,21,11,1,4,"00:02:24,894","00:02:26,937"
227,232,"Well, if you want, you can stay with Rachel and me tonight.",Auden,neutral,neutral,21,12,1,4,"0:02:29,023","0:02:30,900"
228,233,Thanks.,Ellis,joy,positive,21,13,1,4,"0:02:30,900","0:02:32,175"
229,234,Ew! What is that? Something exploded!,Alex,disgust,negative,22,0,1,23,"00:09:00,248","00:09:03,667"
230,235,"It's just her water breaking. Calm down, will you?",Ash,neutral,neutral,22,1,1,23,"00:09:03,834","00:09:06,169"
231,236,"Water breaking, what do you mean? What's that, water breaking?",Alex,surprise,negative,22,2,1,23,"00:09:06,337","00:09:09,714"
232,237,"Breathe, breathe, breathe.",Ash,neutral,neutral,22,3,1,23,"00:09:09,882","00:09:13,510"
233,238,"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",Auden,surprise,negative,23,0,3,11,"00:10:13,321","00:10:19,909"
234,239,Okay! You don’t think I thought of that?,Ace,anger,negative,23,1,3,11,"00:10:17,825","00:10:19,909"
235,240,How can you not know which one?,Ellis,surprise,negative,23,2,3,11,"0:10:20,870","0:10:22,422"
236,241,I mean that’s unbelievable.,Aster,joy,positive,23,3,3,11,"0:10:22,422","0:10:23,751"
237,242,"I mean, was it Gina?",Auden,neutral,neutral,23,4,3,11,"0:10:23,873","0:10:24,873"
238,243,Which one is Gina?,Honor,neutral,neutral,23,5,3,11,"0:10:24,873","0:10:25,937"
239,244,"Dark, big hair, with the airplane earrings.",Aster,neutral,neutral,23,6,3,11,"00:10:26,042","00:10:28,209"
240,245,"No, no, no, that’s Dina.",Auden,neutral,neutral,23,7,3,11,"00:10:28,377","00:10:30,420"
241,246,"You see you can’t tell which one is which either, dwha!!",Ace,surprise,negative,23,8,3,11,"00:10:30,588","00:10:44,809"
242,247,"I don’t know, you thought ‘See you Saturday’ was funny.",Aster,neutral,neutral,24,0,3,14,"00:10:40,389","00:10:44,059"
